"Town","FIPS","Year","Address 1","Address 2","Address 3","City","Zip","Telephone"
"Andover",901301080,1996,"","17 School Road, P.O. Box 328","","Andover",6232,"(860) 742-7305"
"Andover",901301080,1999,"","17 School Road, P.O. Box 328","","Andover",6232,"(860) 742-7305"
"Andover",901301080,2002,"","17 School Road, P.O. Box 328","","Andover",6232,"(860) 742-7305"
"Andover",901301080,2006,"","17 School Road, P.O. Box 328","","Andover",6232,"(860) 742-7305"
"Andover",901301080,2011,"","17 School Road, P.O. Box 328","","Andover",6232,"(860) 742-7305"
"Andover",901301080,2018,"","17 School Road","","Andover",6232,"(860) 742-7305"
"Ansonia",900901220,1996,"City Hall","253 Main Street","","Ansonia",6401,"(203) 736-5900"
"Ansonia",900901220,1999,"City Hall","253 Main Street","","Ansonia",6401,"(203) 736-5900"
"Ansonia",900901220,2002,"City Hall","253 Main Street","","Ansonia",6401,"(203) 736-5900"
"Ansonia",900901220,2006,"City Hall","253 Main Street","","Ansonia",6401,"(203) 736-5900"
"Ansonia",900901220,2011,"City Hall","253 Main Street","","Ansonia",6401,"(203) 736-5900"
"Ansonia",900901220,2018,"City Hall","253 Main Street","","Ansonia",6401,"(203) 736-5900"
"Ashford",901501430,1996,"","25 Pompey Hollow Road, Route 44","","Ashford",6278,"(860) 429-2750"
"Ashford",901501430,1999,"","25 Pompey Hollow Road, Route 44","","Ashford",6278,"(860) 429-2750"
"Ashford",901501430,2002,"","25 Pompey Hollow Road, Route 44","","Ashford",6278,"(860) 429-2750"
"Ashford",901501430,2006,"","25 Pompey Hollow Road, Route 44","","Ashford",6278,"(860) 429-2750"
"Ashford",901501430,2011,"","25 Pompey Hollow Road, Route 44","","Ashford",6278,"(860) 429-2750"
"Ashford",901501430,2018,"","5 Town Hall Rd.","","Ashford",6278,"(860) 487-4400"
"Avon",900302060,1996,"","69 West Main Street","","Avon",6001,"(860) 409-4300"
"Avon",900302060,1999,"","69 West Main Street","","Avon",6001,"(860) 409-4300"
"Avon",900302060,2002,"","69 West Main Street","","Avon",6001,"(860) 409-4300"
"Avon",900302060,2006,"","69 West Main Street","","Avon",6001,"(860) 409-4300"
"Avon",900302060,2011,"","69 West Main Street","","Avon",6001,"(860) 409-4300"
"Avon",900302060,2018,"","69 West Main Street","","Avon",6001,"(860) 409-4300"
"Barkhamsted",900502760,1996,"","P.O. Box 588","","Pleasant Valley",6063,"(860) 379-8285"
"Barkhamsted",900502760,1999,"","P.O. Box 588","","Pleasant Valley",6063,"(860) 379-8285"
"Barkhamsted",900502760,2002,"","P.O. Box 588","","Pleasant Valley",6063,"(860) 379-8285"
