"Town","FIPS","Year","Address 1","Address 2","Address 3","City","Zip","Telephone"
"Andover","0901301080",1996,"","17 School Road, P.O. Box 328","","Andover","06232","(860) 742-7305"
"Andover","0901301080",1999,"","17 School Road, P.O. Box 328","","Andover","06232","(860) 742-7305"
"Andover","0901301080",2002,"","17 School Road, P.O. Box 328","","Andover","06232","(860) 742-7305"
"Andover","0901301080",2006,"","17 School Road, P.O. Box 328","","Andover","06232","(860) 742-7305"
"Andover","0901301080",2011,"","17 School Road, P.O. Box 328","","Andover","06232","(860) 742-7305"
"Ansonia","0900901220",1996,"City Hall","253 Main Street","","Ansonia","06401","(203) 736-5900"
"Ansonia","0900901220",1999,"City Hall","253 Main Street","","Ansonia","06401","(203) 736-5900"
"Ansonia","0900901220",2002,"City Hall","253 Main Street","","Ansonia","06401","(203) 736-5900"
"Ansonia","0900901220",2006,"City Hall","253 Main Street","","Ansonia","06401","(203) 736-5900"
"Ansonia","0900901220",2011,"City Hall","253 Main Street","","Ansonia","06401","(203) 736-5900"
"Ashford","0901501430",1996,"","25 Pompey Hollow Road, Route 44","","Ashford","06278","(860) 429-2750"
"Ashford","0901501430",1999,"","25 Pompey Hollow Road, Route 44","","Ashford","06278","(860) 429-2750"
"Ashford","0901501430",2002,"","25 Pompey Hollow Road, Route 44","","Ashford","06278","(860) 429-2750"
"Ashford","0901501430",2006,"","25 Pompey Hollow Road, Route 44","","Ashford","06278","(860) 429-2750"
"Ashford","0901501430",2011,"","25 Pompey Hollow Road, Route 44","","Ashford","06278","(860) 429-2750"
"Avon","0900302060",1996,"","69 West Main Street","","Avon","06001","(860) 409-4300"
"Avon","0900302060",1999,"","69 West Main Street","","Avon","06001","(860) 409-4300"
"Avon","0900302060",2002,"","69 West Main Street","","Avon","06001","(860) 409-4300"
"Avon","0900302060",2006,"","69 West Main Street","","Avon","06001","(860) 409-4300"
"Avon","0900302060",2011,"","69 West Main Street","","Avon","06001","(860) 409-4300"
"Barkhamsted","0900502760",1996,"","P.O. Box 588","","Pleasant Valley","06063","(860) 379-8285"
"Barkhamsted","0900502760",1999,"","P.O. Box 588","","Pleasant Valley","06063","(860) 379-8285"
"Barkhamsted","0900502760",2002,"","P.O. Box 588","","Pleasant Valley","06063","(860) 379-8285"
"Barkhamsted","0900502760",2006,"","P.O. Box 588","","Pleasant Valley","06063","(860) 379-8285"
"Barkhamsted","0900502760",2011,"","P.O. Box 588","","Pleasant Valley","06063","(860) 379-8285"
"Beacon Falls","0900903250",1996,"Town Hall","10 Maple Avenue","","Beacon Falls","06403","(203) 729-4340"
"Beacon Falls","0900903250",1999,"Town Hall","10 Maple Avenue","","Beacon Falls","06403","(203) 729-4340"
"Beacon Falls","0900903250",2002,"Town Hall","10 Maple Avenue","","Beacon Falls","06403","(203) 729-4340"
"Beacon Falls","0900903250",2006,"Town Hall","10 Maple Avenue","","Beacon Falls","06403","(203) 729-4340"
"Beacon Falls","0900903250",2011,"Town Hall","10 Maple Avenue","","Beacon Falls","06403","(203) 729-4340"
"Berlin","0900304300",1996,"","240 Kensington Road","","Berlin","06037","(860) 828-7003"
"Berlin","0900304300",1999,"","240 Kensington Road","","Berlin","06037","(860) 828-7003"
"Berlin","0900304300",2002,"","240 Kensington Road","","Berlin","06037","(860) 828-7003"
"Berlin","0900304300",2006,"","240 Kensington Road","","Berlin","06037","(860) 828-7003"
"Berlin","0900304300",2011,"","240 Kensington Road","","Berlin","06037","(860) 828-7003"
"Bethany","0900904580",1996,"Town Hall","40 Peck Road","","Bethany","06524","(203) 393-2100"
"Bethany","0900904580",1999,"Town Hall","40 Peck Road","","Bethany","06524","(203) 393-2100"
"Bethany","0900904580",2002,"Town Hall","40 Peck Road","","Bethany","06524","(203) 393-2100"
"Bethany","0900904580",2006,"Town Hall","40 Peck Road","","Bethany","06524","(203) 393-2100"
"Bethany","0900904580",2011,"Town Hall","40 Peck Road","","Bethany","06524","(203) 393-2100"
"Bethel","0900104720",1996,"","5 Library Place","","Bethel","06801","(203) 794-8501"
"Bethel","0900104720",1999,"","5 Library Place","","Bethel","06801","(203) 794-8501"
"Bethel","0900104720",2002,"Clifford J. Hurgin Municipal Center","1 School Street","","Bethel","06801","(203) 794-8501"
"Bethel","0900104720",2006,"Clifford J. Hurgin Municipal Center","1 School Street","","Bethel","06801","(203) 794-8501"
"Bethel","0900104720",2011,"Clifford J. Hurgin Municipal Center","1 School Street","","Bethel","06801","(203) 794-8501"
"Bethlehem","0900504930",1996,"","P.O. Box 160","","Bethlehem","06751","(203) 266-7677"
"Bethlehem","0900504930",1999,"","P.O. Box 160","","Bethlehem","06751","(203) 266-7677"
"Bethlehem","0900504930",2002,"","P.O. Box 160","","Bethlehem","06751","(203) 266-7677"
"Bethlehem","0900504930",2006,"","P.O. Box 160","","Bethlehem","06751","(203) 266-7677"
