Town,FIPS,Year,Address 1,Address 2,Address 3,City,Zip,Telephone,Website
Andover,901301080,2018,,17 School Road,,Andover,6232,(860) 742-7305,www.andoverconnecticut.org
Ansonia,900901220,2018,City Hall,253 Main Street,,Ansonia,6401,(203) 736-5900,www.cityofansonia.com
Ashford,901501430,2018,,5 Town Hall Rd.,,Ashford,6278,(860) 487-4400,www.ashfordtownhall.org
Avon,900302060,2018,,69 West Main Street,,Avon,6001,(860) 409-4300,
Barkhamsted,900502760,2018,,67 Ripley Hill Road,,Barkhamsted,6063,(860) 379-8285,www.barkhamsted.us
Beacon Falls,900903250,2018,Town Hall,10 Maple Avenue,,Beacon Falls,6403,(203) 729-4340,www.beaconfalls-ct.org
Berlin,900304300,2018,,240 Kensington Road,,Berlin,6037,(860) 828-7003,
Bethany,900904580,2018,Town Hall,40 Peck Road,,Bethany,6524,(203) 393-2100,
Bethel,900104720,2018,Clifford J. Hurgin Municipal Center,1 School Street,,Bethel,6801,(203) 794-8501,
Bethlehem,900504930,2018,,P.O. Box 160,,Bethlehem,6751,(203) 266-7677,
Bloomfield,900305910,2018,,800 Bloomfield Avenue,,Bloomfield,6002,(860) 769-3504,www.bloomfieldct.org
Bolton,901306260,2018,,222 Bolton Center Road,,Bolton,6043,(860) 649-8066,
Bozrah,901106820,2018,,1 River Rd,,Bozrah,6334,(860) 889-2689,
Branford,900907310,2018,Town Hall,1019 Main Street,(or) P.O. Box 150,Branford,6405,(203) 488-8394,
Bridgeport,900108070,2018,City Hall,45 Lyon Terrace,,Bridgeport,6604,(203) 576-7201,
Bridgewater,900508210,2018,,P.O. Box 171,,Bridgewater,6752,(860) 355-9379,www.bridgewatertownhall.org
Bristol,900308490,2018,,111 North Main Street,,Bristol,6010,(860) 584-7612,
Brookfield,900108980,2018,,100 Pocono Road,,Brookfield,6804,(203) 775-5235,www.brookfieldct.gov
Brooklyn,901509190,2018,,4 Wolf Den Road,,Brooklyn,6234,(860) 779-3411,
Burlington,900310100,2018,,200 Spielman Highway,,Burlington,6013,(860) 673-6789,
Canaan,900510940,2018,,"P.O. Box 47,  Falls Village",,Canaan,6031,(860) 824-0707,
Canterbury,901512130,2018,,P.O. Box 26,,Canterbury,6331,(860) 546-9693,
Canton,900312270,2018,Town Hall,4 Market Street,P.O. Box 168,Collinsville,6022,(860) 693-7847,www.townofcantonct.org/  
Chaplin,901513810,2018,,495 Phoenixville Road,,Chaplin,6235,(860) 455-0073,www.chaplinct.org
Cheshire,900914160,2018,,84 South Main Street,,Cheshire,6410,(203) 271-6660,www.cheshirect.org
Chester,900714300,2018,,P.O. Box 218,,Chester,6412,(860) 526-0013,
Clinton,900715350,2018,,54 East Main Street,,Clinton,6413,(860) 669-9333,
Colchester,901115910,2018,,127 Norwich Avenue,,Colchester,6415,(860) 537-7220,www.colchesterct.gov
Colebrook,900516050,2018,,P.O. Box 5,,Colebrook,6021,(860) 379-3359,
Columbia,901316400,2018,,323 Jonathan Trumbull Highway,,Columbia,6237,(860) 228-0110,
Cornwall,900517240,2018,,P.O. Box 97,,Cornwall,6753,(860) 672-4959,www.cornwallct.org/
Coventry,901317800,2018,,1712 Main Street,,Coventry,6238,(860) 742-6324,www.CoventryCT.org
Cromwell,900718080,2018,,41 West Street,,Cromwell,6416,(860) 632-3410,
Danbury,900118500,2018,,155 Deer Hill Avenue,,Danbury,6810,(203) 797-4511,www.danbury-ct.gov
Darien,900118850,2018,,2 Renshaw Road,,Darien,6820,(203) 656-7338,
Deep River,900719130,2018,,174 Main Street,,Deep River,6417,(860) 526-6020,www.deepriverct.us
Derby,900919550,2018,City Hall,1 Elizabeth Street,,Derby,6418,(203) 736-1450,www.derbyct.gov
Durham,900720810,2018,,30 Town House Road,P.O. Box 428,Durham,6422,(860) 349-3452,www.townofdurhamct.org
East Granby,900322070,2018,,P.O. Box 1858,,East Granby,6026,(860) 653-2576,www.eastgranbyct.org
East Haddam,900722280,2018,,1 Plains Road,P.O. Box 385,Moodus,6469,(860) 873-5020,www.easthaddam.org
East Hampton,900722490,2018,,20 East High Street,,East Hampton,6424,(860) 267-4468,
East Hartford,900322630,2018,,740 Main Street,,East Hartford,6108,(860) 291-7300,
East Haven,900922910,2018,Town Hall,250 Main Street,,East Haven,6512,(203) 468-3204,www.townofeasthavenct.org
East Lyme,901123400,2018,,108 Pennsylvania Ave,,East Lyme,6357,(860) 739-6931,www.eltownhall.com
East Windsor,900324800,2018,,11 Rye Street,,Broad Brook,6016,(860) 623-8122,
Eastford,901521860,2018,,P.O. Box 273,,Eastford,6242,(860) 974-0133,
Easton,900123890,2018,Town Hall,225 Center Road,,Easton,6612,(203) 268-6291,www.eastonct.gov
Ellington,901325360,2018,,P.O. Box 187,,Ellington,6029,(860) 870-3100,
Enfield,900325990,2018,,820 Enfield Street,,Enfield,6082,(860) 253-6350,
Essex,900726270,2018,,29 West Avenue,,Essex,6426,(860) 767-4340,www.essexct.gov
Fairfield,900126620,2018,Town Hall,611 Old Post Road,,Fairfield,6430,(203) 256-3030,
Farmington,900327600,2018,,1 Monteith Drive,,Farmington,6032,(860) 675-2350,www.farmington-ct.org
Franklin,901129910,2018,,7 Meetinghouse Hill,,Franklin,6254,(860) 642-6055,
Glastonbury,900331240,2018,,2155 Main Street,,Glastonbury,6033,(860) 652-7500,
Goshen,900532290,2018,,42 North Street,,Goshen,6756,(860) 491-2308,www.goshenct.gov
Granby,900332640,2018,,15 North Granby Road,,Granby,6035,(860) 653-8950,
Greenwich,900133620,2018,,P.O. Box 2540,,Greenwich,6830,(203) 622-7710,www.greenwichct.org
Griswold,901133900,2018,,32 School Street,,Jewett City,6351,(860) 376-7061,www.griswold-ct.org
Groton,901134250,2018,,45 Fort Hill Road,,Groton,6340,(860) 441-6630,www.groton-ct.gov
Guilford,900934950,2018,Town Hall,31 Park Street,,Guilford,6437,(203) 453-8015,
Haddam,900735230,2018,,30 Field Park Drive,,Haddam,6438,(860) 345-8531,
Hamden,900935650,2018,Hamden Gov't Center,2750 Dixwell Avenue,,Hamden,6518,(203) 287-7100,
Hampton,901536000,2018,,P.O. Box 143,,Hampton,6247,(860) 455-9132 ,
Hartford,900337070,2018,,550 Main Street,,Hartford,6103,(860) 757-9311,www.hartford.gov
Hartland,900337140,2018,,22 South Road,,East Hartland,6027,(860) 653-6800,
Harwinton,900537280,2018,,100 Bentley Drive,,Harwinton,6791,(860) 485-9051,
Hebron,901337910,2018,,15 Gilead Street,,Hebron,6248,(860) 228-5971 ,www.hebronct.com
Kent,900540290,2018,,P.O. Box 678,,Kent,6757,(860) 927-4627,
Killingly,901540500,2018,,172 Main Street,,Killingly,6239,(860) 779-5334,www.killinglyct.gov
Killingworth,900740710,2018,,323 Route 81,,Killingworth,6419,(860) 663-1765,
Lebanon,901142390,2018,,579 Exeter Road,,Lebanon,6249,(860) 642-2006,www.lebanonct.gov
Ledyard,901142600,2018,,741 Colonel Ledyard Hwy,,Ledyard,6339,(860) 464-8740 ,www.ledyardct.org
Lisbon,901143230,2018,,1 Newent Road,,Lisbon,6351,(860) 376-3400,
Litchfield,900543370,2018,,P.O. Box 488,,Litchfield,6759,(860) 567-7550,www.townoflitchfield.org
Lyme,901144210,2018,,480 Hamburg Road,,Lyme,6371,(860) 434-7733,www.townlyme.org
Madison,900944560,2018,Town Hall,8 Campus Drive,,Madison,6443,(203) 245-5602,
Manchester,900344700,2018,,P.O. Box 191,,Manchester,6045,(860) 647-3123,www.townofmanchester.org
Mansfield,901344910,2018,,4 South Eagleville Road,,Mansfield,6268,(860) 429-3336,www.mansfieldct.gov
Marlborough,900345820,2018,,P.O. Box 29,,Marlborough,6447,(860) 295-6204,
Meriden,900946520,2018,City Hall,142 East Main Street,,Meriden,6450,(203) 630-4125,www.meridenct.gov
Middlebury,900946940,2018,,1212 Whittemore Road,,Middlebury,6762,(203) 758-2439,www.middlebury-ct.org
Middlefield,900747080,2018,,P.O. Box 179,,Middlefield,6455,(860) 349-7114,
Middletown,900747360,2018,,P.O. Box 1300,,Middletown,6457,(860) 344-3401,
Milford,900947535,2018,City Hall,70 West River St.,,Milford,6460,(203) 783-3215,www.ci.milford.ct.us
Monroe,900148620,2018,Town Hall,7 Fan Hill Road,,Monroe,6468,(203) 452-5421,www.monroect.org
Montville,901148900,2018,,310 Norwich-New London Turnpike,,Uncasville,6382,(860) 848-3030,
Morris,900549460,2018,,3 East Street P.O. Box 66,,Morris,6763,(860) 567-7430,
Naugatuck,900949950,2018,,229 Church Street,,Naugatuck,6770,(203) 720-7007,
New Britain,900350440,2018,,27 West Main Street,,New Britain,6051,(860) 826-3303,www.newbritainct.gov
New Canaan,900150580,2018,,77 Main Street,,New Canaan,6840,(203) 594-3000,www.newcanaan.info
New Fairfield,900150860,2018,,4 Brush Hill Road,,New Fairfield,6812,(203) 746-8101,
New Hartford,900551350,2018,,P.O. Box 316,,New Hartford,6057,(860) 379-3389,
New Haven,900952070,2018,City Hall,165 Church Street,,New Haven,6510,(203) 946-8200,
New London,901152350,2018,,181 State Street,,New London,6320,(860) 447-5201,
New Milford,900552630,2018,,10 Main Street,,New Milford,6776,(860) 355-6000,www.newmilford.org
Newington,900352140,2018,,131 Cedar Street,,Newington,6111,(860) 665-8510,www.newingtonct.gov
Newtown,900152980,2018,Municipal Center,3 Primrose St,,Newtown,6470,(203) 270-4210,www.newtown-ct.gov
Norfolk,900553470,2018,Town Hall,19 Maple Avenue,P. O. Box 592,Norfolk,6058,(860) 542-5829,www.norfolkct.org
North Branford,900953890,2018,Town Hall,909 Foxon Rd,,North Branford,6471,(203) 484-6000,
North Canaan,900554030,2018,,100 Pease Street,,North Canaan,6018,(860) 824-7313,www.northcanaan.org
North Haven,900954870,2018,Town Hall,18 Church Street,,North Haven,6473,(203) 239 5321,
North Stonington,901155500,2018,,40 Main Street,,North Stonington,6359,(860) 535-2877,
Norwalk,900156060,2018,,P.O. Box 5125,,Norwalk,6856,(203) 854-7701,
Norwich,901156270,2018,,100 Broadway,,Norwich,6360,(860) 823-3717,www.norwichct.org
Old Lyme,901157040,2018,Memorial Town Hall,52 Lyme Street,,Old Lyme,6371,(860) 434-1605,www.oldlyme-ct.gov
Old Saybrook,900757320,2018,,302 Main Street,,Old Saybrook,6475,(860) 395-3123,
Orange,900957600,2018,Town Hall,617 Orange Center Road,,Orange,6477,(203) 891-4700,www.orange-ct.gov
Oxford,900958300,2018,Town Hall,486 Oxford Road,,Oxford,6478,(203) 888-2543 ,www.oxford-ct.gov
Plainfield,901559980,2018,,8 Community Avenue,,Plainfield,6374,(860) 230-3001,www.plainfieldct.org
Plainville,900360120,2018,,1 Central Square,,Plainville,6062,(860) 793-0221,www.plainvillect.com
Plymouth,900560750,2018,,80 Main Street,,Terryville,6786,(860) 585-4002,
Pomfret,901561030,2018,,5 Haven Road,,Pomfret Center,6259,(860) 974-1674,www.pomfretct.gov
Portland,900761800,2018,,33 East Main Street,PO Box 71,Portland,6480,(860) 342-6715,www.portlandct.org
Preston,901162150,2018,,389 Route 2,,Preston,6365,(860) 887-5581,
Prospect,900962290,2018,,36 Center Street,,Prospect,6712,(203) 758-4461,
Putnam,901562710,2018,,126 Church Street,,Putnam,6260,(860) 963-6800,
Redding,900163480,2018,,Town Office Building P.O. Box  28,,Redding,6875,(203) 938-2002,
Ridgefield,900163970,2018,,400 Main Street,,Ridgefield,6877,(203) 431-2700,
Rocky Hill,900365370,2018,,761 Old Main Street,,Rocky Hill,6067,(860) 258-2705,www.rockyhillct.gov
Roxbury,900565930,2018,,P.O. Box 203,,Roxbury,6783,(860) 354-9938,
Salem,901166210,2018,,270 Hartford Road,,Salem,6420,(860) 859-3873,www.salemct.gov
Salisbury,900566420,2018,,27 Main Street,,Salisbury,6068,(860) 435-5170,
Scotland,901567400,2018,,9 Devotion Rd,P.O. Box 122,Scotland,6264,(860) 423-9634,www.scotlandct.org
Seymour,900967610,2018,Town Hall,1 First Street,,Seymour,6483,(203) 888-2511,
Sharon,900567960,2018,,63 Main Street,,Sharon,6069,(860) 364-5789,
Shelton,900168170,2018,City Hall,54 Hill Street,,Shelton,6484,(203) 924-1555 ,
Sherman,900168310,2018,,P.O. Box 39,,Sherman,6784,(860) 355-1139,
Simsbury,900368940,2018,,P.O. Box 495,,Simsbury,6070,(860) 658-3230,
Somers,901369220,2018,,600 Main Street,,Somers,6071,(860) 763-8200,www.somersct.gov
South Windsor,900371390,2018,,1540 Sullivan Avenue,,South Windsor,6074,(860) 644-2511,www.SouthWindsor.org
Southbury,900969640,2018,,501 Main Street South,,Southbury,6488,(203) 262-0647,
Southington,900370550,2018,,75 Main Street,,Southington,6489,(860) 276-6200,
Sprague,901171670,2018,,P.O. Box 677,,Baltic,6330,(860) 822-3000,
Stafford,901372090,2018,,1 Main Street,,Stafford Springs,6076,(860) 684-1777,www.staffordct.org
Stamford,900173070,2018,,888 Washington Blvd,,Stamford,6904,(203) 977-4140,www.stamfordct.gov
Sterling,901573420,2018,,P.O. Box 157,,Oneco,6373,(860) 564-4428,www.sterlingct.us
Stonington,901173770,2018,,152 Elm Street,,Stonington,6378,(860) 535-5050,www.stonington-ct.gov
Stratford,900174190,2018,Town Hall,2725 Main Street,,Stratford,6615,(203) 385-4001,
Suffield,900374540,2018,,83 Mountain Road,,Suffield,6078,(860) 668-3838,www.suffieldct.gov
Thomaston,900575730,2018,,158 Main Street,,Thomaston,6787,(860) 283-0305,www.thomastonct.org
Thompson,901575870,2018,,P.O. Box 899,,North Grosvenordale,6255,(860) 923-9561,
Tolland,901376290,2018,,21 Tolland Green,,Tolland,6084,(860) 871-3600,
Torrington,900576570,2018,,140 Main Street,,Torrington,6790,(860) 489-2228,
Trumbull,900177200,2018,Town Hall,5866 Main Street,,Trumbull,6611,(203) 452-5006,www.trumbull-ct.gov
Union,901377830,2018,,1043 Buckley Highway,,Union,6076,(860) 684-3812,www.unionconnecticut.org
Vernon,901378250,2018,,14 Park Place,,Vernon,6066,(860) 870-3600,www.vernon-ct.gov
Voluntown,901178600,2018,,115 Main Street,P.O. Box 96,Voluntown,6384,(860) 376-3927,www.voluntown.gov
Wallingford,900978740,2018,Town Hall,45 South Main Street,,Wallingford,6492,(203) 294-2070,www.town.wallingford.ct.us
Warren,900579510,2018,,7 Sackett Hill Road,,Warren,6754,(860) 868-0090,
Washington,900579720,2018,,2 Bryan Plaza,P.O. Box 383,Washington Depot,6794,(860) 868-2259,www.washingtonct.org
Waterbury,900980070,2018,,235 & 236 Grand Street,,Waterbury,6702,(203) 574-6716,
Waterford,901180280,2018,,15 Rope Ferry Road,,Waterford,6385,(860) 444-5834,
Watertown,900580490,2018,,37 DeForest Street,,Watertown,6795,(860) 945-5255,
West Hartford,900382590,2018,,50 South Main Street,,West Hartford,6107,(860) 561-7500,www.westhartfordct.gov
West Haven,900982870,2018,City Hall,355 Main Street,,West Haven,6516,(203) 937-3510,
Westbrook,900781680,2018,,866 Boston Post Road,,Westbrook,6498,(860) 399-3016,www.westbrookct.us
